freq,sitc06,partner,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,TOTAL,LDC,MIO_EUR,HR	39 	16 	18 	13 	14 	16 	23 	26 	29 	31 	34 	55 	69 	45 	18 	22 	36 	38 	27 	110 	33 	29 	80 	286 
A,TOTAL,LDC,MIO_EUR,HU	50 	40 	34 	36 	23 	26 	18 	12 	7 	7 	8 	13 	13 	8 	7 	8 	11 	13 	22 	36 	26 	24 	69 	108 
A,TOTAL,LDC,MIO_EUR,IE	131 	162 	136 	108 	121 	129 	123 	129 	110 	136 	188 	183 	212 	308 	206 	342 	309 	288 	294 	326 	279 	391 	608 	580 
A,TOTAL,LDC,MIO_EUR,IT	873 	1100 	1348 	1238 	1100 	1314 	1703 	1888 	2379 	1486 	2466 	4833 	3430 	3303 	3794 	4071 	3476 	3624 	3775 	4031 	3321 	3857 	7707 	5410 
A,TOTAL,LDC,MIO_EUR,LT	3 	6 	23 	5 	5 	5 	5 	4 	4 	9 	12 	36 	52 	33 	24 	33 	25 	13 	14 	11 	14 	16 	18 	31 
A,TOTAL,LDC,MIO_EUR,LU	5 	13 	15 	12 	9 	8 	7 	7 	9 	8 	10 	16 	15 	23 	25 	40 	20 	0 	0 	0 	3 	7 	8 	21 
A,TOTAL,LDC,MIO_EUR,LV	1 	2 	1 	1 	1 	1 	1 	2 	1 	1 	1 	3 	3 	11 	5 	5 	5 	5 	5 	4 	4 	5 	7 	4 
A,TOTAL,LDC,MIO_EUR,MT	1 	1 	1 	2 	1 	1 	2 	2 	1 	1 	19 	2 	2 	2 	2 	3 	3 	25 	3 	3 	3 	5 	8 	7 
A,TOTAL,LDC,MIO_EUR,NL	832 	1022 	838 	804 	766 	1203 	1142 	2126 	3096 	2071 	2890 	3581 	3845 	4446 	5160 	4927 	4628 	4767 	5209 	4863 	3506 	4000 	11146 	8778 
A,TOTAL,LDC,MIO_EUR,PL	79 	186 	163 	167 	123 	112 	253 	284 	219 	286 	449 	342 	315 	564 	427 	716 	723 	777 	1085 	1705 	1529 	1971 	2968 	2457 
A,TOTAL,LDC,MIO_EUR,PT	299 	354 	344 	207 	188 	554 	639 	993 	908 	510 	899 	1509 	2421 	3059 	2057 	1613 	1145 	952 	1206 	1446 	708 	426 	1629 	595 
A,TOTAL,LDC,MIO_EUR,RO	20 	25 	38 	31 	43 	51 	43 	37 	21 	38 	83 	92 	102 	109 	104 	177 	141 	131 	132 	128 	99 	130 	125 	172 
