freq,fin_source,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,OFLOW_OTH,MEUR_KP21,BE	-14 	11 	156 	1153 	-100 	413 	-443 	-148 	-118 	79 	-14 	-13 	50 	66 	-38 	-73 	329 	50 	-69 	24 	-42 	-20 	296 
A,OFLOW_OTH,MEUR_KP21,CH	13 	11 	5 	0 	: 	: 	21 	: 	: 	: 	: 	: 	: 	: 	18 	24 	16 	122 	: 	18 	-8 	-15 	12 
A,OFLOW_OTH,MEUR_KP21,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	: 	: 	-13 	-2 	-2 	-1 
A,OFLOW_OTH,MEUR_KP21,DE	-153 	-735 	6368 	-2243 	-312 	11050 	-2873 	525 	1288 	499 	63 	-125 	-84 	-75 	132 	1342 	-460 	-346 	-107 	13 	382 	1075 	208 
A,OFLOW_OTH,MEUR_KP21,DK	-4 	-6 	-5 	49 	40 	15 	34 	26 	-2 	198 	9 	36 	-104 	95 	-88 	111 	-91 	-53 	214 	244 	7 	157 	-17 
A,OFLOW_OTH,MEUR_KP21,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 
A,OFLOW_OTH,MEUR_KP21,EL	0 	: 	: 	: 	3 	: 	7 	3 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 
A,OFLOW_OTH,MEUR_KP21,ES	5 	229 	78 	92 	25 	64 	: 	5 	: 	3 	: 	3 	2 	115 	3 	6 	99 	78 	148 	: 	: 	: 	20 
A,OFLOW_OTH,MEUR_KP21,EU27_2020	351 	-265 	8152 	4776 	1304 	10968 	-2645 	280 	2342 	1401 	535 	763 	597 	1119 	718 	1925 	321 	-64 	141 	768 	180 	1071 	806 
A,OFLOW_OTH,MEUR_KP21,FI	3 	12 	5 	8 	-3 	: 	: 	20 	19 	50 	40 	-9 	10 	-26 	9 	21 	48 	66 	71 	25 	49 	17 	-11 
A,OFLOW_OTH,MEUR_KP21,FR	20 	-57 	869 	4196 	-217 	-1367 	21 	-99 	255 	465 	427 	701 	594 	651 	558 	407 	119 	-17 	-186 	231 	-356 	32 	136 
A,OFLOW_OTH,MEUR_KP21,IT	159 	95 	357 	471 	2050 	91 	154 	119 	823 	35 	8 	144 	167 	131 	77 	41 	48 	102 	32 	19 	94 	-58 	155 
A,OFLOW_OTH,MEUR_KP21,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,OFLOW_OTH,MEUR_KP21,NL	208 	186 	324 	1038 	156 	155 	337 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,OFLOW_OTH,MEUR_KP21,NO	: 	: 	: 	0 	0 	5 	5 	4 	0 	0 	1 	: 	0 	0 	-34 	276 	-98 	-121 	278 	59 	111 	-873 	30 
A,OFLOW_OTH,MEUR_KP21,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-1 	0 	21 	7 	: 	: 	1 
A,OFLOW_OTH,MEUR_KP21,PT	127 	-2 	-2 	-2 	-275 	-3 	-20 	-207 	: 	: 	: 	1 	2 	3 	2 	0 	1 	0 	-10 	5 	15 	10 	-1 
A,OFLOW_OTH,MEUR_KP21,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	64 	: 	: 	: 	: 	: 	: 
A,OFLOW_OTH,MEUR_KP21,SE	0 	2 	2 	13 	-64 	25 	63 	24 	26 	66 	0 	25 	-39 	-18 	-23 	44 	23 	7 	23 	25 	-19 	-71 	-67 
A,OFLOW_OTH,MEUR_KP21,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5 	: 	0 	0 	: 
A,OFLOW_OTH,MEUR_KP21,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-4 	0 	: 
A,OFLOW_OTH,MEUR_KP21,TR	55 	: 	: 	35 	548 	232 	0 	0 	0 	0 	0 	0 	0 	-2 	0 	0 	: 	: 	195 	: 	: 	: 	: 
A,TOTAL,MEUR_KP21,AT	1793 	1333 	2861 	1782 	1491 	5200 	3610 	19135 	9458 	2905 	5896 	6989 	4403 	913 	2977 	4700 	3207 	2161 	2325 	2560 	-82 	1807 	2740 
A,TOTAL,MEUR_KP21,BE	3565 	479 	1971 	1475 	879 	3316 	5424 	3509 	3788 	2843 	7185 	1009 	2442 	8823 	7466 	3672 	-11365 	7402 	3510 	4028 	3811 	4681 	4493 
A,TOTAL,MEUR_KP21,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	43 	42 	: 	: 	: 	: 	: 	: 	77 	203 
A,TOTAL,MEUR_KP21,CH	2980 	2565 	2478 	4258 	1710 	9790 	14939 	6482 	12272 	8732 	22172 	10365 	12190 	11181 	10637 	5801 	4801 	15471 	17131 	10240 	2860 	3300 	5069 
A,TOTAL,MEUR_KP21,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17 	12 
A,TOTAL,MEUR_KP21,CZ	37 	57 	82 	139 	146 	170 	190 	183 	214 	196 	212 	216 	207 	196 	102 	297 	247 	129 	123 	275 	401 	373 	777 
A,TOTAL,MEUR_KP21,DE	18223 	9526 	10142 	6052 	15891 	31827 	26590 	33864 	30973 	25684 	38352 	48786 	32121 	46644 	45738 	20921 	49353 	52097 	47189 	39541 	40420 	58508 	49901 
A,TOTAL,MEUR_KP21,DK	3435 	4190 	2312 	2285 	2831 	2317 	2729 	4366 	4265 	3202 	4162 	2318 	2083 	3648 	3466 	2887 	3270 	5698 	5178 	2951 	3185 	3262 	2401 
